1,肖申克的救赎,1994,9.7,3095381人评价,希望让人自由。
2,霸王别姬,1993,9.6,2284345人评价,风华绝代。
3,阿甘正传,1994,9.5,2303773人评价,一部美国近现代史。
4,泰坦尼克号,1997,9.5,2344913人评价,失去的才是永恒的。 
5,千与千寻,2001,9.4,2393031人评价,最好的宫崎骏，最好的久石让。 
6,美丽人生,1997,9.5,1407472人评价,最美的谎言。
7,这个杀手不太冷,1994,9.4,2441573人评价,怪蜀黍和小萝莉不得不说的故事。
8,星际穿越,2014,9.4,2017032人评价,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,2010,9.4,2202759人评价,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,1998,9.4,1875089人评价,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,1993,9.5,1189788人评价,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,2009,9.4,1472814人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,1998,9.3,1787618人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,2009,9.2,1972071人评价,英俊版憨豆，高情商版谢耳朵。
15,放牛班的春天,2004,9.3,1398899人评价,天籁一般的童声，是最接近上帝的存在。 
16,机器人总动员,2008,9.3,1403983人评价,小瓦力，大人生。
17,疯狂动物城,2016,9.2,2102728人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,无间道,2002,9.3,1471652人评价,香港电影史上永不过时的杰作。
19,控方证人,1957,9.6,643069人评价,比利·怀德满分作品。
20,大话西游之大圣娶亲,1995,9.2,1625155人评价,一生所爱。
21,熔炉,2011,9.3,989182人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,1972,9.3,1040738人评价,千万不要记恨你的对手，这样会让你失去理智。
23,触不可及,2011,9.3,1212727人评价,满满温情的高雅喜剧。
24,寻梦环游记,2017,9.1,1829147人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
25,当幸福来敲门,2006,9.2,1610202人评价,平民励志片。 
26,末代皇帝,1987,9.3,962933人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,龙猫,1988,9.2,1344928人评价,人人心中都有个龙猫，童年就永远不会消失。
28,哈利·波特与魔法石,2001,9.2,1320065人评价,童话世界的开端。
29,怦然心动,2010,9.1,1949817人评价,真正的幸福是来自内心深处。
30,活着,1994,9.3,914445人评价,张艺谋最好的电影。
31,蝙蝠侠：黑暗骑士,2008,9.2,1134015人评价,无尽的黑暗。
32,指环王3：王者无敌,2003,9.3,860477人评价,史诗的终章。
33,我不是药神,2018,9.0,2238190人评价,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,1939,9.3,742339人评价,Tomorrow is another day.
35,飞屋环游记,2009,9.1,1416553人评价,最后那些最无聊的事情，才是最值得怀念的。 
36,素媛,2013,9.3,736257人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
37,哈尔的移动城堡,2004,9.1,1193099人评价,带着心爱的人在天空飞翔。
38,让子弹飞,2010,9.0,1817814人评价,你给我翻译翻译，神马叫做TMD的惊喜。
39,十二怒汉,1957,9.4,538961人评价,1957年的理想主义。 
40,海蒂和爷爷,2015,9.3,703790人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
41,何以为家,2018,9.1,1112864人评价,凝视卑弱生命，用电影改变命运。
42,猫鼠游戏,2002,9.1,1125007人评价,骗子大师和执著警探的你追我跑故事。 
43,摔跤吧！爸爸,2016,9.0,1661551人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
44,天空之城,1986,9.2,951766人评价,对天空的追逐，永不停止。 
45,鬼子来了,2000,9.3,673553人评价,对敌人的仁慈，就是对自己残忍。
46,少年派的奇幻漂流,2012,9.1,1425188人评价,瑰丽壮观、无人能及的冒险之旅。
47,钢琴家,2002,9.3,700439人评价,音乐能化解仇恨。
48,指环王2：双塔奇兵,2002,9.2,808909人评价,承前启后的史诗篇章。
49,大话西游之月光宝盒,1995,9.0,1294462人评价,旷古烁今。
50,死亡诗社,1989,9.2,808727人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
51,闻香识女人,1992,9.1,962639人评价,史上最美的探戈。
52,绿皮书,2018,8.9,1778797人评价,去除成见，需要勇气。
53,大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,476183人评价,经典之作，历久弥新。
54,罗马假日,1953,9.1,1002125人评价,爱情哪怕只有一天。
55,黑客帝国,1999,9.1,895480人评价,视觉革命。
56,指环王1：护戒使者,2001,9.1,907576人评价,传说的开始。
57,教父2,1974,9.3,598331人评价,优雅的孤独。
58,天堂电影院,1988,9.2,712923人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
59,狮子王,1994,9.1,907857人评价,动物版《哈姆雷特》。
60,辩护人,2013,9.2,629570人评价,电影的现实意义大过电影本身。
61,饮食男女,1994,9.2,672940人评价,人生不能像做菜，把所有的料都准备好了才下锅。
62,搏击俱乐部,1999,9.0,911897人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
63,本杰明·巴顿奇事,2008,9.0,1050682人评价,在时间之河里感受溺水之苦。
64,美丽心灵,2001,9.1,818020人评价,爱是一切逻辑和原由。
65,穿条纹睡衣的男孩,2008,9.2,609528人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,窃听风暴,2006,9.2,603968人评价,别样人生。
67,情书,1995,8.9,1216671人评价,暗恋的极致。
68,两杆大烟枪,1998,9.1,639670人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69,哈利·波特与死亡圣器(下),2011,9.0,909015人评价,10年的完美句点。
70,音乐之声,1965,9.1,646690人评价,用音乐化解仇恨，让歌声串起美好。
71,看不见的客人,2016,8.8,1366936人评价,你以为你以为的就是你以为的。
72,西西里的美丽传说,2000,8.9,1042775人评价,美丽无罪。
73,阿凡达,2009,8.8,1502218人评价,绝对意义上的美轮美奂。
74,拯救大兵瑞恩,1998,9.1,689500人评价,美利坚精神输出大片No1.
75,功夫,2004,8.9,1242328人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
76,哈利·波特与阿兹卡班的囚徒,2004,9.0,825344人评价,不一样的导演，不一样的哈利·波特。
77,小鞋子,1997,9.2,439929人评价,奔跑的孩子是天使。
78,飞越疯人院,1975,9.1,578915人评价,自由万岁。
79,沉默的羔羊,1991,8.9,960737人评价,安东尼·霍普金斯的顶级表演。
80,布达佩斯大饭店,2014,8.9,1020529人评价,小清新的故事里注入了大历史的情怀。
81,蝴蝶效应,2004,8.9,1008105人评价,人的命运被自己瞬间的抉择改变。
82,禁闭岛,2010,8.9,1052583人评价,昔日翩翩少年，今日大腹便便。
83,致命魔术,2006,8.9,918854人评价,孪生蝙蝠侠大战克隆金刚狼。
84,心灵捕手,1997,9.0,774680人评价,人生中应该拥有这样的一段豁然开朗。
85,超脱,2011,9.0,671847人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
86,低俗小说,1994,8.9,903345人评价,故事的高级讲法。
87,摩登时代,1936,9.3,326181人评价,大时代中的人生，小人物的悲喜。
88,喜剧之王,1999,8.8,1034604人评价,我是一个演员。
89,春光乍泄,1997,9.0,675436人评价,爱情纠缠，男女一致。
90,哈利·波特与密室,2002,8.9,850957人评价,魔法的密室之门已打开...
91,致命ID,2003,8.9,892970人评价,最不可能的那个人永远是最可能的。
92,海豚湾,2009,9.3,371758人评价,海豚的微笑，是世界上最高明的伪装。
93,杀人回忆,2003,8.9,782793人评价,关于连环杀人悬案的集体回忆。
94,美国往事,1984,9.1,445818人评价,往事如烟，无处祭奠。
95,一一,2000,9.1,449089人评价,我们都曾经是一一。
96,红辣椒,2006,9.0,523868人评价,梦的勾结。
97,加勒比海盗,2003,8.8,918631人评价,约翰尼·德普的独角戏。
98,七宗罪,1995,8.8,1002882人评价,警察抓小偷，老鼠玩死猫。
99,唐伯虎点秋香,1993,8.7,1158717人评价,华太师是黄霑，吴镇宇四大才子之一。
100,狩猎,2012,9.1,432838人评价,人言可畏。
101,7号房的礼物,2013,8.9,593589人评价,《我是山姆》的《美丽人生》。
102,蝙蝠侠：黑暗骑士崛起,2012,8.9,773061人评价,诺兰就是保证。
103,甜蜜蜜,1996,8.9,622251人评价,相逢只要一瞬间，等待却像是一辈子。
104,被嫌弃的松子的一生,2006,8.8,743307人评价,以戏谑来戏谑戏谑。
105,爱在黎明破晓前,1995,8.8,746376人评价,缘分是个连绵词，最美不过一瞬。
106,超能陆战队,2014,8.8,1086981人评价,Balalala~~~
107,第六感,1999,8.9,600727人评价,深入内心的恐怖，出人意料的结局。
108,寄生虫,2019,8.8,1467797人评价,寂寞没有期限。
110,爱在日落黄昏时,2004,8.9,612143人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
111,入殓师,2008,8.9,713438人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
112,幽灵公主,1997,8.9,562969人评价,人与自然的战争史诗。
113,请以你的名字呼唤我,2017,8.8,780259人评价,沉醉在电影的情感和视听氛围中无法自拔。
114,剪刀手爱德华,1990,8.7,1084631人评价,浪漫忧郁的成人童话。
115,断背山,2005,8.8,747361人评价,每个人心中都有一座断背山。
116,勇敢的心,1995,8.9,584490人评价,史诗大片的典范。
117,菊次郎的夏天,1999,8.9,641440人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
118,借东西的小人阿莉埃蒂,2010,8.9,595325人评价,曾经的那段美好会沉淀为一辈子的记忆。
119,未麻的部屋,1997,9.1,389034人评价,好的剧本是，就算你猜到了结局也猜不到全部。
120,哈利·波特与火焰杯,2005,8.8,743234人评价,年度最佳date movie。
122,无人知晓,2004,9.1,351883人评价,我的平常生活就是他人的幸福。
123,时空恋旅人,2013,8.8,737913人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
124,茶馆,1982(中国大陆),9.6,180704人评价,两张绝世的脸。 
126,完美的世界,1993,9.1,341195人评价,坏人的好总是比好人的好来得更感人。
127,阳光灿烂的日子,1994,8.8,657904人评价,一场华丽的意淫。
128,小森林 夏秋篇,2014,9.0,452224人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
129,天使爱美丽,2001,8.7,991539人评价,法式小清新。 
130,驯龙高手,2010,8.8,809074人评价,和谐的生活离不开摸头与被摸头。
131,侧耳倾听,1995,8.9,497083人评价,少女情怀总是诗。
132,头脑特工队,2015,8.8,725972人评价,愿我们都不用长大，每一座城堡都能永远存在。
133,新世界,2013,8.9,490151人评价,要做就做得狠一点，这样才能活下去。
134,怪兽电力公司,2001,8.8,727437人评价,不要给它起名字，起了名字就有感情了。
135,教父3,1990,9.0,405909人评价,任何信念的力量，都无法改变命运。
136,傲慢与偏见,2005,8.7,867039人评价,爱是摈弃傲慢与偏见之后的曙光。
137,一个叫欧维的男人决定去死,2015,8.9,527511人评价,惠及一生的美丽。
138,玩具总动员3,2010,8.9,558665人评价,跨度十五年的欢乐与泪水。
139,幸福终点站,2004,8.8,610586人评价,有时候幸福需要等一等。 
140,小森林 冬春篇,2015,9.0,402184人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
141,色，戒,2007,8.7,896280人评价,假戏真情，爱欲深海
142,被解救的姜戈,2012,8.8,654220人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
143,釜山行,2016,8.6,1282307人评价,揭露人性的丧尸题材力作。
144,神偷奶爸,2010,8.7,1003860人评价,Mr. I Don&#39;t Care其实也有Care的时候。
145,萤火之森,2011,8.8,579571人评价,触不到的恋人。
146,九品芝麻官,1994,8.7,743598人评价,想你时你在闹海。
148,告白,2010,8.8,710695人评价,没有一人完全善，也没有一人完全恶。
149,喜宴,1993,9.0,399328人评价,中国家庭的喜怒哀乐忍。
150,玛丽和马克思,2009,9.0,440980人评价,你是我最好的朋友，你是我唯一的朋友 。
151,模仿游戏,2014,8.8,691168人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
152,头号玩家,2018,8.6,1447082人评价,写给影迷，动漫迷和游戏迷的一封情书。
153,花样年华,2000,8.8,663756人评价,偷情本没有这样美。
154,大鱼,2003,8.8,600851人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
155,七武士,1954,9.3,216556人评价,时代悲歌。
156,射雕英雄传之东成西就,1993,8.7,682404人评价,百看不厌。 
157,惊魂记,1960,9.0,329366人评价,故事的反转与反转，分裂电影的始祖。
158,血战钢锯岭,2016,8.7,824402人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
159,我是山姆,2001,9.0,359706人评价,爱并不需要智商 。
160,阳光姐妹淘,2011,8.8,615321人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
161,恐怖直播,2013,8.7,696709人评价,恐怖分子的“秋菊打官司”。
162,你的名字。,2016,8.5,1516988人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,黑客帝国3：矩阵革命,2003,8.8,474617人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
164,三块广告牌,2017,8.7,876560人评价,怼天怼地，你走后，她与世界为敌。
165,心迷宫,2014,8.8,575897人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
166,电锯惊魂,2004,8.7,577670人评价,真相就在眼前。
167,小丑,2019,8.7,1081805人评价,Jared Leto的腿比女人还美！
169,背靠背，脸对脸,1994,9.5,159482人评价,老少皆宜，这就是好莱坞动画的魅力。
172,谍影重重3,2007,8.8,446245人评价,像吃了苏打饼一样干脆的电影。
173,绿里奇迹,1999,8.9,363768人评价,天使暂时离开。
174,上帝之城,2002,9.0,319386人评价,被上帝抛弃了的上帝之城。
175,海街日记,2015,8.8,489538人评价,是枝裕和的家庭习作。
176,爱在午夜降临前,2013,8.9,441860人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
177,英雄本色,1986,8.6,577963人评价,英雄泪短，兄弟情长。 
178,风之谷,1984,8.9,376758人评价,动画片的圣经。
179,无间道2,2003,8.8,528934人评价,中国版《两杆大烟枪》。
181,2001太空漫游,1968,8.9,366410人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
182,雨中曲,1952,9.1,249292人评价,骨灰级歌舞片。
183,纵横四海,1991,8.8,454143人评价,香港浪漫主义警匪动作片的巅峰之作。
184,卢旺达饭店,2004,8.9,351656人评价,当这个世界闭上双眼，他却敞开了怀抱。
