日期,最高气温,最低气温,天气
2024-01-01,6,-2,多云~晴
2024-01-02,7,0,阴~晴
2024-01-03,8,-1,晴
2024-01-04,10,0,晴
2024-01-05,11,2,多云
2024-01-06,10,-4,阴~晴
2024-01-07,2,-4,阴~晴
2024-01-08,7,0,阴~多云
2024-01-09,11,0,多云
2024-01-10,5,-4,多云~晴
2024-02-01,3,0,雾~小雪
2024-02-02,3,0,阴~雨夹雪
2024-02-03,2,-1,雨夹雪
2024-02-04,1,-2,暴雪~雨夹雪
2024-02-05,0,-3,小雪~多云
2024-02-06,3,0,阴
2024-02-07,5,-3,阴
2024-02-08,6,-2,多云
2024-02-09,9,1,多云~晴
2024-02-10,13,3,多云~小雨
2024-03-01,5,-1,阴
2024-03-02,10,1,阴~晴
2024-03-03,14,5,多云~小雨
2024-03-04,11,8,小雨
2024-03-05,9,4,小雨~阴
2024-03-06,9,0,阴~多云
2024-03-07,12,2,雾~晴
2024-03-08,11,0,雾~多云
2024-03-09,12,1,雾~晴
2024-03-10,15,7,多云~阴
2024-04-01,26,15,多云~暴雨
2024-04-02,19,13,阴~中雨
2024-04-03,13,9,雾~阴
2024-04-04,16,5,阴
2024-04-05,18,9,多云~小雨
2024-04-06,18,9,阴~多云
2024-04-07,18,10,小雨~中雨
2024-04-08,18,6,阴
2024-04-09,21,9,雾~阴
2024-04-10,22,13,阴
2024-05-01,22,10,阴
2024-05-02,21,10,阴~多云
2024-05-03,22,14,阴
2024-05-04,20,15,阴~大雨
2024-05-05,18,15,小雨~多云
2024-05-06,24,13,阴~晴
2024-05-07,26,12,多云~晴
2024-05-08,23,11,晴
2024-05-09,24,13,雾~晴
2024-05-10,29,20,晴~小雨
2024-06-01,27,17,阴~多云
2024-06-02,28,18,阴~多云
2024-06-03,32,17,晴~阴
2024-06-04,28,20,阴
2024-06-05,23,18,小雨~多云
2024-06-06,27,16,阴
2024-06-07,27,18,阴~晴
2024-06-08,31,22,阴
2024-06-09,33,22,阴~多云
2024-06-10,32,20,阴
2024-07-01,31,27,大雨~中雨
2024-07-02,30,22,小雨~阴
2024-07-03,32,26,阴~晴
2024-07-04,36,26,阴~晴
2024-07-05,36,28,阴
2024-07-06,35,29,阴
2024-07-07,37,30,阴~多云
2024-07-08,37,27,阴
2024-07-09,34,26,阴~暴雨
2024-07-10,28,23,暴雨~中雨
2024-08-01,37,29,阴~晴
2024-08-02,37,28,阴~晴
2024-08-03,38,27,阴~多云
2024-08-04,38,29,阴~晴
2024-08-05,38,28,阴~晴
2024-08-06,35,27,多云~晴
2024-08-07,35,28,阴~多云
2024-08-08,36,28,阴~多云
2024-08-09,37,28,小雨~多云
2024-08-10,38,29,阴~多云
2024-09-01,36,27,多云
2024-09-02,32,24,阴
2024-09-03,30,23,阴~多云
2024-09-04,33,25,阴~晴
2024-09-05,34,26,晴~多云
2024-09-06,32,25,阴~晴
2024-09-07,33,25,阴~晴
2024-09-08,32,25,阴~晴
2024-09-09,33,25,阴~晴
2024-09-10,32,26,阴~中雨
2024-10-01,22,14,阴~晴
2024-10-02,21,13,多云~晴
2024-10-03,22,12,晴
2024-10-04,24,15,晴~多云
2024-10-05,23,18,阴~小雨
2024-10-06,20,16,小雨~中雨
2024-10-07,16,13,中雨~晴
2024-10-08,22,12,晴~阴
2024-10-09,22,12,雾~多云
2024-10-10,24,12,雾~晴
2024-11-01,18,13,小雨~晴
2024-11-02,21,10,多云~晴
2024-11-03,22,12,多云~晴
2024-11-04,21,10,多云
2024-11-05,18,6,阴~晴
2024-11-06,18,6,晴~多云
2024-11-07,17,8,多云
2024-11-08,18,10,阴
2024-11-09,20,13,雾~阴
2024-11-10,21,10,阴~晴
2024-12-01,21,7,晴
2024-12-02,22,9,晴
2024-12-03,20,14,多云
2024-12-04,15,12,晴
2024-12-05,16,12,阴
2024-12-06,13,10,阴
2024-12-07,9,-1,晴
2024-12-08,12,5,中度雾霾
2024-12-09,12,5,阴
2024-12-10,15,10,阴
