
[2021-12-28],玉米棒,浙江嘉兴蔬菜批发交易市场,¥3.20,¥5.19,¥3.52,元/千克(kg) 

[2021-12-28],金针菇,浙江嘉善曹安农产品批发有限公司,¥7.00,¥8.00,¥7.50,元/千克(kg) 

[2021-12-28],金针菇,浙江嘉兴蔬菜批发交易市场,¥4.20,¥8.82,¥4.91,元/千克(kg) 

[2021-12-28],金针菇,绍兴市蔬菜果品批发交易市场有限公司,¥0.00,¥0.00,¥7.00,元/千克(kg) 

[2021-12-28],金针菇,浙江金华农产品批发市场,¥0.00,¥0.00,¥6.00,元/千克(kg) 

[2021-12-28],香菇,浙江嘉善曹安农产品批发有限公司,¥18.00,¥22.00,¥20.00,元/千克(kg) 

[2021-12-28],香菇,浙江嘉兴蔬菜批发交易市场,¥8.00,¥14.60,¥11.34,元/千克(kg) 

[2021-12-28],香菇,绍兴市蔬菜果品批发交易市场有限公司,¥0.00,¥0.00,¥15.00,元/千克(kg) 

[2021-12-28],香菇,浙江宁波市蔬菜副食品批发交易市场,¥12.00,¥15.60,¥14.00,元/千克(kg) 

[2021-12-28],香菇,浙江金华农产品批发市场,¥0.00,¥0.00,¥10.00,元/千克(kg) 

[2021-12-28],平菇,浙江嘉兴蔬菜批发交易市场,¥6.52,¥8.84,¥7.68,元/千克(kg) 

[2021-12-28],平菇,浙江宁波市蔬菜副食品批发交易市场,¥5.00,¥7.00,¥6.00,元/千克(kg) 

[2021-12-28],平菇,绍兴市蔬菜果品批发交易市场有限公司,¥0.00,¥0.00,¥6.00,元/千克(kg) 

[2021-12-28],蘑菇,浙江金华农产品批发市场,¥0.00,¥0.00,¥14.00,元/千克(kg) 

[2021-12-28],蘑菇,浙江嘉兴蔬菜批发交易市场,¥8.41,¥16.00,¥11.72,元/千克(kg) 

[2021-12-28],蘑菇,绍兴市蔬菜果品批发交易市场有限公司,¥0.00,¥0.00,¥13.00,元/千克(kg) 

[2021-12-28],鲜食玉米,绍兴市蔬菜果品批发交易市场有限公司,¥0.00,¥0.00,¥5.60,元/千克(kg) 

[2021-12-28],毛豆,浙江嘉善曹安农产品批发有限公司,¥10.00,¥12.00,¥11.00,元/千克(kg) 

[2021-12-28],毛豆,浙江金华农产品批发市场,¥0.00,¥0.00,¥10.00,元/千克(kg) 

[2021-12-28],毛豆,绍兴市蔬菜果品批发交易市场有限公司,¥0.00,¥0.00,¥11.00,元/千克(kg) 

[2021-12-28],毛豆,浙江嘉兴蔬菜批发交易市场,¥8.60,¥15.18,¥10.82,元/千克(kg) 

[2021-12-28],豇豆,浙江嘉善曹安农产品批发有限公司,¥10.00,¥12.00,¥11.00,元/千克(kg) 

[2021-12-28],豇豆,浙江嘉兴蔬菜批发交易市场,¥7.51,¥13.00,¥11.67,元/千克(kg) 

[2021-12-28],豇豆,绍兴市蔬菜果品批发交易市场有限公司,¥0.00,¥0.00,¥10.00,元/千克(kg) 

[2021-12-28],豇豆,浙江金华农产品批发市场,¥0.00,¥0.00,¥10.00,元/千克(kg) 
